Province,Mean_incidence_per_100k,CV,Autocorr_lag1,Peak_week,Seasonal_concentration,National_shape_R2,Note
San Jose de Ocoa,4.83,1.7,0.81,34.9,0.404,0.632,
Barahona,3.55,1.32,0.84,37.4,0.139,0.438,
Hermanas Mirabal,3.39,1.38,0.75,41.9,0.317,0.618,
Sanchez Ramirez,3.03,1.59,0.86,35.1,0.431,0.577,
Azua,2.29,1.46,0.84,39.2,0.281,0.746,
Valverde,2.12,1.73,0.84,39.5,0.35,0.687,
Hato Mayor,2.11,1.86,0.72,38.4,0.522,0.724,
La Vega,2.1,1.66,0.93,42.2,0.394,0.743,
Santiago Rodriguez,2.06,1.59,0.57,37.1,0.222,0.386,
Monte Cristi,2.01,1.49,0.35,28.7,0.098,0.019,excluded from restricted subset
Independencia,1.99,1.93,0.47,18.6,0.148,0.035,excluded from restricted subset
Duarte,1.93,1.48,0.88,41.4,0.339,0.757,
Santo Domingo,1.86,1.4,0.98,38.1,0.357,0.936,
Santiago,1.82,1.49,0.95,42.0,0.377,0.751,
Distrito Nacional,1.79,1.41,0.95,38.9,0.344,0.914,
Maria Trinidad Sanchez,1.73,1.6,0.84,44.5,0.376,0.413,
San Juan,1.71,1.66,0.87,40.8,0.386,0.75,
Peravia,1.61,1.64,0.81,24.4,0.099,0.004,
Monsenor Nouel,1.48,1.82,0.74,37.5,0.402,0.68,
Espaillat,1.38,1.38,0.78,42.5,0.343,0.546,
San Cristobal,1.38,1.54,0.94,36.8,0.377,0.796,
La Altagracia,1.32,2.13,0.93,40.3,0.655,0.768,
Puerto Plata,1.25,1.44,0.86,43.1,0.313,0.639,
El Seibo,1.15,2.12,0.73,40.2,0.531,0.67,
Monte Plata,1.15,1.67,0.84,36.8,0.425,0.722,
Samana,1.14,1.7,0.73,39.3,0.368,0.566,
San Pedro de Macoris,1.09,1.45,0.8,39.4,0.427,0.786,
La Romana,0.83,2.34,0.91,35.7,0.454,0.513,
