Province,r_temperature,r_rainfall,r_humidity
San Jose de Ocoa,0.312,0.08,0.092
Barahona,0.184,-0.046,0.016
Hermanas Mirabal,0.26,-0.04,-0.126
Sanchez Ramirez,0.409,-0.13,-0.212
Azua,0.231,-0.013,0.086
Valverde,0.237,-0.064,-0.097
Hato Mayor,0.343,0.039,0.139
La Vega,0.243,-0.177,-0.176
Santiago Rodriguez,0.18,-0.014,-0.022
Monte Cristi,0.196,-0.084,-0.14
Independencia,0.001,-0.038,-0.084
Duarte,0.292,-0.072,-0.075
Santo Domingo,0.372,-0.038,0.037
Santiago,0.22,0.005,-0.084
Distrito Nacional,0.332,-0.037,0.042
Maria Trinidad Sanchez,0.113,-0.123,0.038
San Juan,0.163,0.065,0.197
Peravia,0.082,-0.085,0.041
Monsenor Nouel,0.367,-0.195,-0.137
Espaillat,0.224,-0.065,0.05
San Cristobal,0.382,-0.016,0.061
La Altagracia,0.289,0.081,0.188
Puerto Plata,0.301,-0.137,-0.199
El Seibo,0.263,0.012,0.149
Monte Plata,0.413,-0.01,-0.01
Samana,0.369,-0.016,-0.096
San Pedro de Macoris,0.358,0.017,0.113
La Romana,0.233,0.032,0.097
