Term,Coefficient,Source
Incidence-latent interaction (lag 0),-0.042,base library
Cumulative incidence memory,-0.023,base library
"Seasonal-latent interaction (~52 wk, latent lag 2)",0.021,LLM
Incidence-latent interaction (lag 1),0.021,base library
Nonlinear power term (lag 3),-0.016,FunSearch
Incidence-latent product,-0.014,base library
Outbreak nonlinearity (squared lagged incidence),-0.014,LLM
Base-library lag term,0.013,base library
"Incidence-latent interaction (lag 1, alt.)",-0.012,base library
Secondary seasonal term (~26 wk),0.012,base library
