province,r2,mae,mse,n
06 Duarte,0.677297830581665,0.017190076410770416,0.0009199181804433465,86
13 La Vega,0.6128610968589783,0.021350465714931488,0.001486496301367879,86
25 Santiago,0.6091430187225342,0.02021505869925022,0.0013628079323098063,86
01 Distrito Nacional,0.5931233167648315,0.01627039723098278,0.001662624068558216,86
22 San Juan,0.5748075246810913,0.028604723513126373,0.0023809599224478006,86
32 Santo Domingo,0.570530891418457,0.016442077234387398,0.0026346975937485695,86
04 Barahona,0.5509982705116272,0.03688861429691315,0.004891186486929655,86
09 Espaillat,0.5457618236541748,0.024970555678009987,0.0022525654640048742,86
10 Independencia,0.525429368019104,0.06541407853364944,0.010364899411797523,86
29 Monte Plata,0.5033971667289734,0.02661256119608879,0.0018266286933794618,86
12 La Romana,0.5018879175186157,0.029058018699288368,0.006736117880791426,86
28 Monseñor Nouel,0.4968951344490051,0.035136617720127106,0.004820079542696476,86
24 Sánchez Ramírez,0.48618781566619873,0.05755883455276489,0.014630607329308987,86
30 Hato Mayor,0.4847761392593384,0.05000944435596466,0.008528921753168106,86
21 San Cristóbal,0.458675742149353,0.016706496477127075,0.0013505833921954036,86
27 Valverde,0.4520310163497925,0.022592468187212944,0.002294587204232812,86
23 San Pedro de Macorís,0.4117357134819031,0.01626705937087536,0.0011914536589756608,86
11 La Altagracia,0.37955009937286377,0.018005020916461945,0.0011297829914838076,86
18 Puerto Plata,0.3778603672981262,0.02238953299820423,0.0020904946140944958,86
26 Santiago Rodríguez,0.34695911407470703,0.06606581807136536,0.013291419483721256,86
19 Hermanas Mirabal,0.3464861512184143,0.04270137846469879,0.007478971965610981,86
31 San José de Ocoa,0.33010584115982056,0.10548187792301178,0.02779749035835266,86
14 María Trinidad Sánchez,0.29491281509399414,0.03436262533068657,0.003288284642621875,86
20 Samaná,0.2783198356628418,0.03395877406001091,0.0028326562605798244,86
17 Peravia,0.23048949241638184,0.020902030169963837,0.0010061855427920818,86
08 El Seibo,0.20671015977859497,0.020557595416903496,0.00149435771163553,86
15 Monte Cristi,0.11850583553314209,0.06418254226446152,0.01377150323241949,86
02 Azua,0.061821162700653076,0.021676113829016685,0.000970394117757678,86
