province,r2,mae,mse,n
06 Duarte,0.6585812568664551,0.017853299155831337,0.000973273126874119,86
13 La Vega,0.5971152186393738,0.022558948025107384,0.0015469557838514447,86
25 Santiago,0.590951681137085,0.021119168028235435,0.0014262356562539935,86
01 Distrito Nacional,0.5818982720375061,0.01701265387237072,0.0017084931023418903,86
32 Santo Domingo,0.560319185256958,0.017763923853635788,0.002697344170883298,86
22 San Juan,0.5590572357177734,0.029580609872937202,0.002469157101586461,86
04 Barahona,0.5442213416099548,0.037017468363046646,0.004965010564774275,86
09 Espaillat,0.5306323766708374,0.025634560734033585,0.0023275925777852535,86
10 Independencia,0.5205682516098022,0.06605120003223419,0.010471068322658539,86
12 La Romana,0.4952431917190552,0.029406577348709106,0.0068259765394032,86
28 Monseñor Nouel,0.4870677590370178,0.03577227145433426,0.00491423299536109,86
30 Hato Mayor,0.4854593276977539,0.05056479945778847,0.008517613634467125,86
29 Monte Plata,0.48442184925079346,0.027375824749469757,0.0018964246846735477,86
24 Sánchez Ramírez,0.4795941710472107,0.05867934599518776,0.014818359166383743,86
21 San Cristóbal,0.4453927278518677,0.01701999083161354,0.001383724040351808,86
27 Valverde,0.4409286379814148,0.022972065955400467,0.0023410776630043983,86
23 San Pedro de Macorís,0.3926393985748291,0.016797790303826332,0.0012301307870075107,86
11 La Altagracia,0.36514174938201904,0.017995061352849007,0.0011560192797333002,86
18 Puerto Plata,0.36008816957473755,0.023056039586663246,0.0021502121817320585,86
26 Santiago Rodríguez,0.33724522590637207,0.06701504439115524,0.013489127159118652,86
19 Hermanas Mirabal,0.333981454372406,0.04325085133314133,0.007622078526765108,86
31 San José de Ocoa,0.32442599534988403,0.10651508718729019,0.02803317829966545,86
14 María Trinidad Sánchez,0.2811300754547119,0.03500399366021156,0.0033525624312460423,86
20 Samaná,0.26162946224212646,0.03456862270832062,0.0028981673531234264,86
17 Peravia,0.2243797779083252,0.020999837666749954,0.0010141744278371334,86
08 El Seibo,0.19230562448501587,0.020729487761855125,0.0015214922605082393,86
15 Monte Cristi,0.1085711121559143,0.06459590792655945,0.013926712796092033,86
02 Azua,0.04860776662826538,0.021672610193490982,0.0009840612765401602,86
