province,anchor_idx,alert_threshold,outcome,lead_time_weeks
01 Distrito Nacional,3,0.2,true_negative,
01 Distrito Nacional,3,0.3,true_negative,
01 Distrito Nacional,3,0.4,true_negative,
01 Distrito Nacional,3,0.5,true_negative,
01 Distrito Nacional,3,0.6,true_negative,
01 Distrito Nacional,3,0.7,true_negative,
01 Distrito Nacional,7,0.2,true_negative,
01 Distrito Nacional,7,0.3,true_negative,
01 Distrito Nacional,7,0.4,true_negative,
01 Distrito Nacional,7,0.5,true_negative,
01 Distrito Nacional,7,0.6,true_negative,
01 Distrito Nacional,7,0.7,true_negative,
01 Distrito Nacional,11,0.2,true_negative,
01 Distrito Nacional,11,0.3,true_negative,
01 Distrito Nacional,11,0.4,true_negative,
01 Distrito Nacional,11,0.5,true_negative,
01 Distrito Nacional,11,0.6,true_negative,
01 Distrito Nacional,11,0.7,true_negative,
01 Distrito Nacional,15,0.2,true_negative,
01 Distrito Nacional,15,0.3,true_negative,
01 Distrito Nacional,15,0.4,true_negative,
01 Distrito Nacional,15,0.5,true_negative,
01 Distrito Nacional,15,0.6,true_negative,
01 Distrito Nacional,15,0.7,true_negative,
01 Distrito Nacional,19,0.2,true_negative,
01 Distrito Nacional,19,0.3,true_negative,
01 Distrito Nacional,19,0.4,true_negative,
01 Distrito Nacional,19,0.5,true_negative,
01 Distrito Nacional,19,0.6,true_negative,
01 Distrito Nacional,19,0.7,true_negative,
01 Distrito Nacional,23,0.2,true_negative,
01 Distrito Nacional,23,0.3,true_negative,
01 Distrito Nacional,23,0.4,true_negative,
01 Distrito Nacional,23,0.5,true_negative,
01 Distrito Nacional,23,0.6,true_negative,
01 Distrito Nacional,23,0.7,true_negative,
01 Distrito Nacional,27,0.2,true_negative,
01 Distrito Nacional,27,0.3,true_negative,
01 Distrito Nacional,27,0.4,true_negative,
01 Distrito Nacional,27,0.5,true_negative,
01 Distrito Nacional,27,0.6,true_negative,
01 Distrito Nacional,27,0.7,true_negative,
01 Distrito Nacional,31,0.2,true_negative,
01 Distrito Nacional,31,0.3,true_negative,
01 Distrito Nacional,31,0.4,true_negative,
01 Distrito Nacional,31,0.5,true_negative,
01 Distrito Nacional,31,0.6,true_negative,
01 Distrito Nacional,31,0.7,true_negative,
01 Distrito Nacional,35,0.2,true_negative,
01 Distrito Nacional,35,0.3,true_negative,
01 Distrito Nacional,35,0.4,true_negative,
01 Distrito Nacional,35,0.5,true_negative,
01 Distrito Nacional,35,0.6,true_negative,
01 Distrito Nacional,35,0.7,true_negative,
01 Distrito Nacional,39,0.2,true_negative,
01 Distrito Nacional,39,0.3,true_negative,
