level,alert_threshold,n_anchors,hits,false_alarms,misses,true_negatives,recall,precision,mean_lead_time_weeks,outbreak_events_seen,province
pooled_by_threshold,0.2,560.0,108.0,40.0,69.0,343.0,0.6101694915254238,0.7297297297297297,0.3333333333333333,177.0,
pooled_by_threshold,0.3,560.0,83.0,15.0,94.0,368.0,0.4689265536723164,0.8469387755102041,0.0963855421686747,177.0,
pooled_by_threshold,0.4,560.0,57.0,10.0,120.0,373.0,0.3220338983050847,0.8507462686567164,0.49122807017543857,177.0,
pooled_by_threshold,0.5,560.0,46.0,7.0,131.0,376.0,0.2598870056497175,0.8679245283018868,0.13043478260869565,177.0,
pooled_by_threshold,0.6,560.0,39.0,3.0,138.0,380.0,0.22033898305084745,0.9285714285714286,-0.3076923076923077,177.0,
pooled_by_threshold,0.7,560.0,27.0,2.0,150.0,381.0,0.15254237288135594,0.9310344827586207,0.18518518518518517,177.0,
per_province_at_threshold_0.5,0.5,20.0,0.0,0.0,2.0,18.0,0.0,,,2.0,01 Distrito Nacional
per_province_at_threshold_0.5,0.5,20.0,1.0,0.0,0.0,19.0,1.0,1.0,6.0,1.0,02 Azua
per_province_at_threshold_0.5,0.5,20.0,0.0,0.0,2.0,18.0,0.0,,,2.0,04 Barahona
per_province_at_threshold_0.5,0.5,20.0,2.0,0.0,3.0,15.0,0.4,1.0,0.0,5.0,06 Duarte
per_province_at_threshold_0.5,0.5,20.0,0.0,0.0,1.0,19.0,0.0,,,1.0,08 El Seibo
per_province_at_threshold_0.5,0.5,20.0,4.0,0.0,3.0,13.0,0.5714285714285714,1.0,0.0,7.0,09 Espaillat
per_province_at_threshold_0.5,0.5,20.0,4.0,1.0,7.0,8.0,0.36363636363636365,0.8,-0.5,11.0,10 Independencia
per_province_at_threshold_0.5,0.5,20.0,0.0,0.0,3.0,17.0,0.0,,,3.0,11 La Altagracia
per_province_at_threshold_0.5,0.5,20.0,3.0,1.0,11.0,5.0,0.21428571428571427,0.75,-0.3333333333333333,14.0,12 La Romana
per_province_at_threshold_0.5,0.5,20.0,2.0,0.0,3.0,15.0,0.4,1.0,-1.0,5.0,13 La Vega
per_province_at_threshold_0.5,0.5,20.0,1.0,0.0,8.0,11.0,0.1111111111111111,1.0,2.0,9.0,14 María Trinidad Sánchez
per_province_at_threshold_0.5,0.5,20.0,4.0,0.0,14.0,2.0,0.2222222222222222,1.0,1.0,18.0,15 Monte Cristi
per_province_at_threshold_0.5,0.5,20.0,0.0,0.0,1.0,19.0,0.0,,,1.0,17 Peravia
per_province_at_threshold_0.5,0.5,20.0,1.0,0.0,5.0,14.0,0.16666666666666666,1.0,0.0,6.0,18 Puerto Plata
per_province_at_threshold_0.5,0.5,20.0,0.0,0.0,4.0,16.0,0.0,,,4.0,19 Hermanas Mirabal
per_province_at_threshold_0.5,0.5,20.0,4.0,0.0,8.0,8.0,0.3333333333333333,1.0,0.75,12.0,20 Samaná
per_province_at_threshold_0.5,0.5,20.0,0.0,1.0,2.0,17.0,0.0,0.0,,2.0,21 San Cristóbal
per_province_at_threshold_0.5,0.5,20.0,3.0,0.0,6.0,11.0,0.3333333333333333,1.0,0.3333333333333333,9.0,22 San Juan
per_province_at_threshold_0.5,0.5,20.0,0.0,1.0,4.0,15.0,0.0,0.0,,4.0,23 San Pedro de Macorís
per_province_at_threshold_0.5,0.5,20.0,2.0,1.0,4.0,13.0,0.3333333333333333,0.6666666666666666,1.5,6.0,24 Sánchez Ramírez
per_province_at_threshold_0.5,0.5,20.0,4.0,0.0,3.0,13.0,0.5714285714285714,1.0,-2.0,7.0,25 Santiago
per_province_at_threshold_0.5,0.5,20.0,1.0,0.0,10.0,9.0,0.09090909090909091,1.0,0.0,11.0,26 Santiago Rodríguez
per_province_at_threshold_0.5,0.5,20.0,1.0,0.0,2.0,17.0,0.3333333333333333,1.0,0.0,3.0,27 Valverde
per_province_at_threshold_0.5,0.5,20.0,2.0,0.0,7.0,11.0,0.2222222222222222,1.0,0.0,9.0,28 Monseñor Nouel
per_province_at_threshold_0.5,0.5,20.0,3.0,1.0,5.0,11.0,0.375,0.75,0.0,8.0,29 Monte Plata
per_province_at_threshold_0.5,0.5,20.0,2.0,1.0,3.0,14.0,0.4,0.6666666666666666,0.0,5.0,30 Hato Mayor
per_province_at_threshold_0.5,0.5,20.0,2.0,0.0,8.0,10.0,0.2,1.0,0.0,10.0,31 San José de Ocoa
per_province_at_threshold_0.5,0.5,20.0,0.0,0.0,2.0,18.0,0.0,,,2.0,32 Santo Domingo
