province,term,label,contribution_scaled,abs_contribution,meets_quality_gate
01 Distrito Nacional,"fs_inc_pow({'lag': 3, 'power': 2, 'z_idx': 0, 'z_idx1': 9, 'z_idx2': 5, 'lag_inc': 0, 'lag_z': 2, 'lag1': 2, 'lag2': 3})","FunSearch-discovered nonlinear term: inc_pow({'lag': 3, 'power': 2, 'z_idx': 0, 'z_idx1': 9, 'z_idx2': 5, 'lag_inc': 0, 'lag_z': 2, 'lag1': 2, 'lag2': 3})",-0.34843704104423523,0.34843704104423523,True
01 Distrito Nacional,y1_zm0,Incidence (1wk lag) x climate-latent factor z1 (concurrent),0.09031306207180023,0.09031306207180023,True
01 Distrito Nacional,I_cumul,Cumulative incidence memory (rolling sum over lag window),-0.06561633199453354,0.06561633199453354,True
01 Distrito Nacional,llm_y_z4_lag1,LLM-proposed biological term: y_z4_lag1,-0.05751935392618179,0.05751935392618179,True
01 Distrito Nacional,s10_lag3,"Own incidence, 3-week lag",0.04457150027155876,0.04457150027155876,True
01 Distrito Nacional,y1_zm1,Incidence (1wk lag) x climate-latent factor z2 (concurrent),-0.04180621728301048,0.04180621728301048,True
01 Distrito Nacional,s10_lag1,"Own incidence, 1-week lag",-0.040893618017435074,0.040893618017435074,True
01 Distrito Nacional,base_y1_z1_2,Incidence (1wk lag) x climate-latent factor z1 (2wk lag),0.029837289825081825,0.029837289825081825,True
02 Azua,I_cumul,Cumulative incidence memory (rolling sum over lag window),-0.07339344918727875,0.07339344918727875,True
02 Azua,s5_lag0,"Climate-latent factor z6, 0-week lag",0.07041555643081665,0.07041555643081665,True
02 Azua,s5_lag3,"Climate-latent factor z6, 3-week lag",0.043941669166088104,0.043941669166088104,True
02 Azua,s10_lag3,"Own incidence, 3-week lag",0.03779342770576477,0.03779342770576477,True
02 Azua,s10_lag0,"Own incidence, 0-week lag",0.029997985810041428,0.029997985810041428,True
02 Azua,s8_lag1,"Climate-latent factor z9, 1-week lag",0.026996007189154625,0.026996007189154625,True
