province,cluster_id,week_ahead,epi_week,point_estimate_incidence,ci_lower,ci_upper,p_exceed_threshold_this_week,p_exceed_threshold_by_this_week,outbreak_threshold_incidence,meets_quality_gate
01 Distrito Nacional,4,1,39,0.0,0.0,0.007942041566660753,0.0,0.0,0.12016735970973969,True
01 Distrito Nacional,4,2,40,0.0,0.0,0.0,0.0,0.0,0.12016735970973969,True
01 Distrito Nacional,4,3,41,0.0,0.0,0.0,0.0,0.0,0.12016735970973969,True
01 Distrito Nacional,4,4,42,0.0,0.0,0.0,0.0,0.0,0.12016735970973969,True
01 Distrito Nacional,4,5,43,0.0,0.0,0.0,0.0,0.0,0.12016735970973969,True
01 Distrito Nacional,4,6,44,0.0,0.0,0.0,0.0,0.0,0.12016735970973969,True
01 Distrito Nacional,4,7,45,0.0,0.0,0.00463696881628455,0.0,0.0,0.12016735970973969,True
01 Distrito Nacional,4,8,46,0.0,0.0,0.011321655726067751,0.0,0.0,0.12016735970973969,True
02 Azua,3,1,39,0.01596796022693034,0.0,0.06915627126084668,0.0,0.0,0.13258251547813416,True
02 Azua,3,2,40,0.02858925288324622,0.0,0.1005885551884833,0.018,0.018,0.13258251547813416,True
02 Azua,3,3,41,0.04642786328936586,0.0,0.13844642991490388,0.064,0.068,0.13258251547813416,True
02 Azua,3,4,42,0.05960942771974871,0.0,0.17209847836076053,0.122,0.134,0.13258251547813416,True
02 Azua,3,5,43,0.07332130609627219,0.0,0.19244723354000656,0.21,0.232,0.13258251547813416,True
02 Azua,3,6,44,0.0849396269581704,0.0,0.20838207333583456,0.264,0.314,0.13258251547813416,True
02 Azua,3,7,45,0.0900597418988876,0.0,0.22838591164211874,0.312,0.392,0.13258251547813416,True
02 Azua,3,8,46,0.0964149400923546,0.0,0.2324452196484437,0.346,0.434,0.13258251547813416,True
04 Barahona,2,1,39,0.0,0.0,0.05330730144214963,0.0,0.0,0.18529769778251648,True
04 Barahona,2,2,40,0.0,0.0,0.09057667155138162,0.0,0.0,0.18529769778251648,True
04 Barahona,2,3,41,0.0,0.0,0.10833509059016971,0.006,0.006,0.18529769778251648,True
04 Barahona,2,4,42,0.001900100400820155,0.0,0.1438609429995011,0.018,0.018,0.18529769778251648,True
04 Barahona,2,5,43,0.009691385703489515,0.0,0.15901852701661395,0.034,0.04,0.18529769778251648,True
04 Barahona,2,6,44,0.023620054109841835,0.0,0.19625448770680234,0.064,0.076,0.18529769778251648,True
04 Barahona,2,7,45,0.03940675477578079,0.0,0.21964863157502867,0.09,0.112,0.18529769778251648,True
04 Barahona,2,8,46,0.03913975051624779,0.0,0.24521871937887957,0.098,0.142,0.18529769778251648,True
06 Duarte,0,1,39,0.006274395311863801,0.0,0.047045518317792356,0.0,0.0,0.1185249611735344,True
06 Duarte,0,2,40,0.017856849943866174,0.0,0.07910058237308337,0.002,0.002,0.1185249611735344,True
06 Duarte,0,3,41,0.026962760148244468,0.0,0.0952198448714974,0.018,0.018,0.1185249611735344,True
06 Duarte,0,4,42,0.03169821304091306,0.0,0.11647883850507626,0.044,0.048,0.1185249611735344,True
06 Duarte,0,5,43,0.040837056511252676,0.0,0.13642626072175995,0.08,0.088,0.1185249611735344,True
