seed,round,em_fit_eval_seconds,prompt_build_seconds,ollama_call_seconds,screening_seconds,total_round_seconds,mem_mb_before_round,mem_mb_after_em_fit,mem_mb_after_ollama_call,mem_mb_after_screening,prompt_chars,response_chars,n_suggestions,n_valid,n_retained
1,1,5.662423499976285,0.0014162920415401459,45.22014595801011,0.02822066703811288,50.912206417066045,389.515625,389.984375,389.984375,389.984375,7144,1287,8,8,4
1,2,3.545187916024588,0.0013989999424666166,36.96768954198342,0.030793291982263327,40.545069749932736,389.984375,389.984375,389.984375,389.984375,8477,1191,8,8,4
1,3,3.770086042000912,0.001287166029214859,37.454628749983385,0.03115874994546175,41.257160707958974,389.984375,389.984375,389.984375,389.984375,8563,1221,8,8,4
1,4,3.5067605830263346,0.0009673750028014183,37.64391362504102,0.032053374918177724,41.18369495798834,389.984375,389.984375,389.984375,389.984375,8591,1230,8,7,4
2,1,3.022990040946752,0.001183624961413443,34.43684216705151,0.02569625002797693,37.48671208298765,389.984375,389.984375,389.984375,389.984375,7144,1223,8,8,4
2,2,3.2531597909983248,0.0009266670094802976,39.83370358298998,0.028776084072887897,43.116566125070676,389.984375,389.984375,389.984375,389.984375,8481,1268,8,8,4
2,3,3.6237781669478863,0.0013075410388410091,45.71376658405643,0.07295654097106308,49.41180883301422,389.984375,389.984375,389.984375,389.984375,8578,1653,8,8,4
2,4,4.276138374931179,0.0013661670964211226,44.04787370795384,0.03681874996982515,48.362196999951266,389.984375,389.984375,389.984375,389.984375,8678,1412,8,8,4
3,1,3.2597807080019265,0.001313542015850544,35.18242616590578,0.02611650002654642,38.469636915950105,389.984375,389.984375,389.984375,389.984375,7144,1249,8,8,4
3,2,3.836204541963525,0.0013472080463543534,30.63732366694603,0.025573792052455246,34.500449209008366,389.984375,389.984375,389.984375,389.984375,8369,933,7,4,1
3,3,3.6310720830224454,0.005455999984405935,37.63448208302725,0.029104750021360815,41.30011491605546,389.984375,389.984375,389.984375,389.984375,8392,1269,8,6,3
3,4,3.9499645839678124,0.0013682909775525331,37.40622450003866,0.03128429199568927,41.388841666979715,389.984375,389.984375,389.984375,389.984375,8441,1224,8,6,1
