metric,mean,std,min,max
em_fit_eval_seconds,3.7781288609839976,0.6822029009260918,3.022990040946752,5.662423499976285
prompt_build_seconds,0.0016115728455285232,0.0012212498965261205,0.0009266670094802976,0.005455999984405935
ollama_call_seconds,38.51491836108229,4.52478166707648,30.63732366694603,45.71376658405643
screening_seconds,0.03321275358515171,0.012913688035369622,0.025573792052455246,0.07295654097106308
total_round_seconds,42.327871548496965,4.936611279263588,34.500449209008366,50.912206417066045
mem_mb_before_round,389.9453125,0.13531646934131855,389.515625,389.984375
mem_mb_after_em_fit,389.984375,0.0,389.984375,389.984375
mem_mb_after_ollama_call,389.984375,0.0,389.984375,389.984375
mem_mb_after_screening,389.984375,0.0,389.984375,389.984375
prompt_chars,8166.833333333333,622.8542560201578,7144.0,8678.0
response_chars,1263.3333333333333,163.81549118296218,933.0,1653.0
n_suggestions,7.916666666666667,0.2886751345948129,7.0,8.0
n_valid,7.25,1.2880570286640687,4.0,8.0
n_retained,3.4166666666666665,1.164500152881315,1.0,4.0
