arm,seed,val_r2,test_r2,valid_proposals,parse_failures,retained_proposals,evaluations_to_best_val,n_terms_final
llm_proposer,1,0.5053378982203347,0.4562465910400663,31,1,13,8,12
random_proposer,1,0.4475598633289337,0.3048184450183596,25,7,15,8,15
llm_proposer,2,0.5311278934989657,0.4259769597223827,32,0,14,8,12
random_proposer,2,0.48415508227688925,0.3596839968647276,28,4,13,8,13
llm_proposer,3,0.5063423386641911,0.45049419360501425,25,6,16,8,13
random_proposer,3,0.5095149001904896,0.3385154902935028,26,5,15,8,15
llm_proposer,4,0.5227276512554714,0.45827135869434904,31,0,15,7,14
random_proposer,4,0.47243240049907137,0.3705014948334013,27,4,16,7,16
llm_proposer,5,0.5351449038301196,0.42219120264053345,22,10,10,8,8
random_proposer,5,0.4694217251879828,0.3920419748340334,25,7,15,8,15
