province,persistence_r2,seasonal_naive_r2,n_points,n_points_seasonal
01 Distrito Nacional,0.6588233679702946,0.030232235732838286,86,86
02 Azua,-0.26137670039745275,-0.32469586114541316,86,86
04 Barahona,0.43774675056473966,-0.06026345081613971,86,86
06 Duarte,0.6510669725060414,-0.4867126517769802,86,86
08 El Seibo,0.05715048142003121,-0.15955832414174442,86,86
09 Espaillat,0.6180551180982821,-0.03305348591289925,86,86
11 La Altagracia,0.39183568977333716,-0.19000574107193446,86,86
12 La Romana,0.5443443357045061,-0.0427424844456592,86,86
13 La Vega,0.6760370320606327,-0.10562043954634981,86,86
14 María Trinidad Sánchez,0.21455666689758535,-0.12590326895542536,86,86
17 Peravia,0.07465858872948994,-1.3320572974323817,86,86
18 Puerto Plata,0.3164728275776605,0.17286739377878269,86,86
19 Hermanas Mirabal,0.32865759682062134,-0.06143677107805545,86,86
20 Samaná,0.01452251606011401,-0.5148803667198403,86,86
21 San Cristóbal,0.4875214303963332,-0.04689524480705032,86,86
22 San Juan,0.5310417934177376,0.0008209451921293853,86,86
23 San Pedro de Macorís,0.44755317411186213,-0.046811924482315304,86,86
24 Sánchez Ramírez,0.5570448163500124,-0.09760172792726007,86,86
25 Santiago,0.586209790986551,-0.8362173260520873,86,86
26 Santiago Rodríguez,0.26785161642973254,-0.1750795558699545,86,86
27 Valverde,0.34397536838344533,-0.13491624364417132,86,86
28 Monseñor Nouel,0.5665353577888662,0.27226234359534707,86,86
29 Monte Plata,0.3321380438450102,0.0024408071741253146,86,86
30 Hato Mayor,0.5786712192207915,-1.2012135144595955,86,86
31 San José de Ocoa,0.3080262269432654,-0.11788638943979435,86,86
32 Santo Domingo,0.6407728868364706,0.06482749259158338,86,86
