province,quality_score,r2,reliability
24 Sánchez Ramírez,0.5985511918537817,0.5516672134399414,HIGH
04 Barahona,0.5849197449867349,0.48615652322769165,HIGH
11 La Altagracia,0.5513590182254454,0.42084991931915283,HIGH
26 Santiago Rodríguez,0.28264299937150816,0.3067116141319275,MEDIUM
28 Monseñor Nouel,0.29864704491561134,0.6140466928482056,MEDIUM
17 Peravia,0.3030323624720681,0.18335556983947754,MEDIUM
30 Hato Mayor,0.3174159490587118,0.5891826152801514,MEDIUM
20 Samaná,0.3309224202752641,0.15554869174957275,MEDIUM
29 Monte Plata,0.361532853494666,0.44303369522094727,MEDIUM
22 San Juan,0.38501040638610196,0.5474648475646973,MEDIUM
09 Espaillat,0.3892771311143347,0.6383549571037292,MEDIUM
14 María Trinidad Sánchez,0.3944610338773936,0.24859321117401123,MEDIUM
23 San Pedro de Macorís,0.4164073956003993,0.48752498626708984,MEDIUM
13 La Vega,0.42930852101426425,0.6499468088150024,MEDIUM
31 San José de Ocoa,0.43049294786027786,0.3434848189353943,MEDIUM
06 Duarte,0.4329940078834338,0.660446286201477,MEDIUM
18 Puerto Plata,0.44090934086299416,0.37460577487945557,MEDIUM
12 La Romana,0.45550981853191064,0.5771800875663757,MEDIUM
21 San Cristóbal,0.46402135665320043,0.44985759258270264,MEDIUM
01 Distrito Nacional,0.4662529914107465,0.6113560199737549,MEDIUM
27 Valverde,0.46914737028103326,0.38144010305404663,MEDIUM
25 Santiago,0.4793419344805691,0.5758877992630005,MEDIUM
19 Hermanas Mirabal,0.4894176149755507,0.4273494482040405,MEDIUM
32 Santo Domingo,0.4959062656231467,0.5709283351898193,MEDIUM
02 Azua,0.4246106614816141,-0.2536050081253052,LOW
08 El Seibo,0.20252544968800906,0.12578600645065308,LOW
10 Independencia,0.1559739446990506,0.42320317029953003,LOW
15 Monte Cristi,0.12410745059156772,0.03435772657394409,LOW
