province,cluster_id,recent_mean_incidence,own_historical_mean_incidence,z_score_vs_own_baseline,cluster_mean_incidence
12 La Romana,2,0.4590606689453125,0.01621212437748909,11.687070298843722,0.031102076850154182
15 Monte Cristi,2,0.4743196666240692,0.039158545434474945,7.473181131983491,0.031102076850154182
26 Santiago Rodríguez,1,0.5026801228523254,0.04004190117120743,7.283869404200566,0.04002391919493675
28 Monseñor Nouel,0,0.35834771394729614,0.028755437582731247,6.307095594134847,0.04111363712166037
24 Sánchez Ramírez,0,0.6121795177459717,0.05890480428934097,5.8923927958486555,0.04111363712166037
09 Espaillat,2,0.23555022478103638,0.02681903913617134,5.632843978020279,0.031102076850154182
18 Puerto Plata,2,0.21741625666618347,0.02426740899682045,5.516627821794873,0.031102076850154182
32 Santo Domingo,4,0.309171587228775,0.036253225058317184,5.371315718934467,0.033336508087813854
10 Independencia,1,0.421417772769928,0.03881516307592392,5.117855768943282,0.04002391919493675
29 Monte Plata,0,0.20493698120117188,0.022386671975255013,4.896352069502395,0.04111363712166037
23 San Pedro de Macorís,2,0.16565488278865814,0.021168282255530357,4.716085930897794,0.031102076850154182
01 Distrito Nacional,4,0.24346378445625305,0.034908227622509,4.232919301386208,0.033336508087813854
21 San Cristóbal,4,0.19648316502571106,0.026776522397994995,4.110526510499802,0.033336508087813854
20 Samaná,2,0.16506944596767426,0.02224763296544552,3.7673582648142117,0.031102076850154182
19 Hermanas Mirabal,0,0.3652869164943695,0.06593211740255356,3.2966960933646177,0.04111363712166037
22 San Juan,0,0.214454784989357,0.03334278613328934,3.2661847246020552,0.04111363712166037
31 San José de Ocoa,3,0.5997314453125,0.09397576004266739,3.174923654646417,0.05660117665926615
14 María Trinidad Sánchez,2,0.20390693843364716,0.03375474363565445,3.1481937006738634,0.031102076850154182
04 Barahona,2,0.352306604385376,0.06918283551931381,3.1079074503453437,0.031102076850154182
25 Santiago,4,0.17654341459274292,0.035408057272434235,2.668999597878988,0.033336508087813854
08 El Seibo,2,0.14830932021141052,0.02241881750524044,2.6472200858460275,0.031102076850154182
11 La Altagracia,2,0.15911865234375,0.025721153244376183,2.431193318624759,0.031102076850154182
27 Valverde,1,0.21321266889572144,0.04121469333767891,2.4119579431323515,0.04002391919493675
13 La Vega,0,0.18515345454216003,0.04094140976667404,2.1276743347298486,0.04111363712166037
17 Peravia,3,0.11872512102127075,0.03130192309617996,1.6999197757632982,0.05660117665926615
06 Duarte,0,0.09212176501750946,0.03753223270177841,0.9831971513531187,0.04111363712166037
02 Azua,3,0.09133998304605484,0.04452584683895111,0.7219851973941236,0.05660117665926615
30 Hato Mayor,2,0.08507046103477478,0.04117226228117943,0.5732617381674551,0.031102076850154182
