Quantity,Value
Ollama inference call,38.5 +/- 4.5 s
Hierarchical EM refit and evaluation,3.8 +/- 0.7 s
Prompt construction,1.6 +/- 1.2 ms
Residual-correlation screening,33 +/- 13 ms
Total wall-clock per round,42.3 +/- 4.9 s
"Process memory, before round",389.9 +/- 0.1 MB
"Process memory, after EM fit / Ollama call / screening",390.0 MB (flat)
Prompt length,8167 +/- 623 characters
Response length,1263 +/- 164 characters
Suggestions returned,7.9 +/- 0.3 of 8 requested
Suggestions passing validation,7.3 +/- 1.3 of those returned
Suggestions retained after screening,3.4 +/- 1.2
